ID,Prediction
TEST_1_1,"Samsung to Roll Out 'Doomsday' Update for Galaxy Note 7: It's a Fire Starter, Not a Good Phone. Verizon, AT&T, Sprint Won't Roll Out Update Until After The Holidays. Note 7s Have Exploded, But Some People Still Use It"
TEST_1_2,"Two Women Charged with Disorderly Conduct for Fight Over Shoveled Parking Spot. 23-year-old Woman: I Shoveled Spot, Then Neighbor's Husband Parked His Pickup in It. Women Pull Each Other's Hair, Push and Punch, Then Pull Hair"
TEST_1_3,"Tucker Carlson Signs Two-Book Deal with Threshold Editions, The AP reports. No details available about the books by Carlson, who turns 48 later this month. Carlson has become one of Fox's biggest names with departures of Kelly, O'Reilly."
TEST_1_4,"A Pizza Delivery Man Jumps Over A Stalled Train for $32 in Tips. Delivers Pizza on Stalled Amtrak Train from New York to Washington, D.C. Deliver Man: ""I do whatever it takes to make the delivery"" Deliverman's 17-year career has taken him to 32 counties across 18 states."
TEST_1_5,"Danish Medical Association: Circumcision Ban Leaves Door Open for Male Circumcisions to Be Decided By Boy Under 18. 1,000 to 2,000 circumcisions take place in Denmark each year. In 2010, an estimated 58% of male newborns were circumcised in the US."
TEST_1_6,"Argentine Treasure Hunter Plans to Salvage $5M Ship from 1763 Wreck of British War Ship ""Lord Clive"" He Found Ship in 2004, 16 feet Underwater, 380 yards off Uruguayan Coast. Ship Went Down in 1763, 270 Crew Members Went Down During Seven Years' War"
TEST_1_7,"President Trump meets Russian President Putin at G-20 Summit. Putin's translator was the only other person present for the conversation. Other leaders say they were ""bemused, nonplussed, befuddled"" by the private conversation. White House officials say the only version of the meeting they have is Trump's own."
TEST_1_8,"Casey Anthony Sues Roy Kronk for 'Defamation' Kronk Found Caylee Anthony's Body in 2008, Sues Anthony for 'Disloyalty' Anthony's Lawyer: 'It's easy to snatch a kid away' Anthony: 'Kronk supplied no proof that Anthony told her defense team to push his name'"
TEST_1_9,"Dow Falls 10 Points, First Time It's Past 26,000 Stocks Suffer Losses in Early Gains. General Electric, Viacom, Energizer Among Stocks That Suffer Stocks Losses. Stocks Fall in Late-Morning Gains"
TEST_1_10,"Prince's Estate Estimated to be worth $200 million, Half of David Bowie's Estate. Prince's Sister, 5 Half-Siblings Aim to Split Estate equally. Prince, who died in April, Estimated to Be Worth $200M, Per Court Filing."
TEST_1_11,"Kaden, Hunter, and Jackson Howard, 3, Have Rare Birth Defect. Triplets' Heads Are Pointy, But They're Thriving Back At Home. ""Life with three boys and three cats is crazy,"" Dad says. ""I wouldn't change it for the world"""
TEST_1_12,"Robert Wylie, 13-year-old Son Dies of Suspected Heroin Overdose. Teenager Had Access to Drugs Because Father Is An addict, Police Say. Wylies' Live-in Girlfriend Tina Davis Faces More Charges in New Case."
TEST_1_13,"Kayannette Gabrielle Disappeared in 2006, Was Found Living in Santa Barbara, California, as Mary Roberts. Family Had Emotional Reunion in early March, Now Trying to Help Her Recall Lost Memories. ""The more we talk to her, the more things pop into her head,"" says daughter of missing mom."
TEST_1_14,"9-year-old Boy Crawl Through Gap in His Bed, Found Under His Bed After Four-hour Search. Boy's Mom: ""Relief that he was alive and well was just too much"" Police: ""I just couldn't bring myself to be angry with him"""
TEST_1_15,"Freedman, 95, Died of Heart Failure, Died in California, Was Victim of 1950s Game Show Scandal. ""Quiz Show"" Producers Arrested, Indicted for 'Cheating' in '60s, Survived by Second Wife, 3 Stepchildren."
TEST_1_16,"Sports Illustrated Predicts Astros' World Series Win in 2014. Houston Astros Beat Dodgers 5-1 in Game 7 of World Series. Game 7 MVP George Springer named Series MVP after Game 7 win. Houston had lost more than 100 games for three straight years in 2014, 2013 and 2012."
TEST_1_17,"Andrew Caspersen, 40, Sentenced to 4 years in Prison for $38M Fraud ""I chose gambling over everything,"" Casperson says. Judge: ""I destroyed my family's name"" ""I lost their money,"" he adds, ""I abused their friendship"""
TEST_1_18,"Washington Post Survey: More than 60% Got No Advice from Doctors on How to Stop Using Drugs. Nearly 180,000 U.S. Opioids Have Claimed 180K Lives in 2 years, Survey Finds. Survey: 2-thirds of those surveyed say risk of getting addicted worth it because of pain relief."
TEST_1_19,"Porn Publisher Larry Flynt Offers $10M for Information on Trump's Impeachment. Flynt Lays Out Offer in Full-page Ad in Sunday's Washington Post. Trump Bragged of sexually assaulting women in 2005 ""Access Hollywood"" Video of Trump Bragging of Sexually Assaulting Women"
TEST_1_20,"20-year-old Nurse Dies in Trampoline Death in Colorado Tramoline Jump ""Freaked Out"" ""Kind of scared, but excited to go,"" One Witness Tells Police ""She was hesitant, you know, pretty freaked out, one employee told police"""
TEST_1_21,"10-year-old With Cerebral Palsy, U.S. Border Agents Release Immigrant Girl With cerebral palsy. Girl Was Detained Because She's In US Without Legal Permission, But Is Now Back With Her Family. ACLU sues government on girl's behalf, says it violated federal law on unaccompanied minors."
TEST_1_22,"Tesla Driver Collides with Left-Turning Truck on Autopilot Car in Florida. Driver Ignored Seven Visual Warnings to Put His Hands On The Wheel, Report Finds. Tesla: Driver didn't seem to be watching a movie, as some reports had suggested."
TEST_1_23,"Four Twins Born in Six-hour Series at Long Island Hospital is 'Unbelievable' Two Sets of Twins Born on Same Day Is 'Unheard of,' Hospital's Chief of Maternal Fetal Medicine says. Two sets of twins born at NYU Winthrop on same day is 'unheard of'"
TEST_1_24,"55 F-35s Grounded at Luke Air Force Base in Arizona after 5 Oxygen-deprived In-flight Incidents. Air Force Spokesman: ""Five Luke incidents"" Prompted ""Cancellation"" of 55 of 200 Fighter Jets in Arizona."
TEST_1_25,"Peahen Stalks Liquor Store in Los Angeles Without a Peep, Peahen Breaks $500 in $500 Worth of Bottles in 90-Minute Stunt. Bird Crashes through Store's Shelters, Crashes Through Wine Bottles"
TEST_1_26,"Porn Star Stormy Daniels Paid $130,000 to Stay Quiet in 2006, New York Times reports. In Touch: Trump Told Stormy Clifford she was beautiful like his daughter. Trump's lawyer calls it recirculation of an old and debunked story."
TEST_1_27,"Tillerson's $180M Retirement Deal: $184M If Confirmed as Secretary of State, He'll Lose $7M in Exxon, $4.1M in Cash, $2M in Benefits, $184 million in Shares. Exxon: ""Tillie will sever all ties with Exxon to comply with conflict-of-interest requirements"""
TEST_1_28,"Cabaret Dancer Christine Keeler, 75, Was Last Survivor of 50-year-old 'Trio' Story P gripped Britain, Fomented Cold War Fears, Led to Macmillan's ouster in 1963. ""Trio"" Was 19, 19 and Married, Had Affairs with John Profumo and Yevgeny Ivanov."
TEST_1_29,"Four Retailers Sued for Duping Shoppers on $2,500-a-Bargain Lawsuit: JC Penney, Sears, Kohl's, Macy's. Lawsuits: Retailers Falsely Advertise $46 Maternity Bikini Top for $31.99"
TEST_1_30,"Donald Trump meets China's 2nd-richest man, Jack Ma. Ma's e-commerce company can create 1 million jobs in the U.S. Trump, Ma Talked About Supporting 1 million Small Businesses, China's Second-Richest"
TEST_1_31,"A Kansas Man Is Indicted on Hate Crime and Murder Charges, Faces Life in Prison. Gunman Shouted 'Get out of my country' as He Shot Two Indian Men, One of whom Later died. Victim's Widow: Charges ""Remind me that Srinivas is not here with us"""
TEST_1_32,"Bobsled Pilot Steven Holcomb, 37, Found Dead at Olympic Training Center in Lake Placid, NY, Was 37, Was Three-time Olympic Medalist, Five-time World Champion. US Olympic Committee CEO: Holcomb ""Tremendous Athlete and even better person"""
TEST_1_33,A 600-year-old White Oak Tree Is About To Be Chomped By A New Jersey Church The Tree Is Among The Nation's Oldest A 600-Year-Old Tree The Tree Has A Trunk circumference of 18 feet and a branch spread of 150 feet.
TEST_1_34,"82-year-old Tokyo Woman DJs 60 years Her Age, But Has Energy ""Beyond Her Age"" ""She's got this energy that is beyond her age,"" Says DJ Sumirock. ""We may be happiest in our 80s,"" DJ Dumpling says."
TEST_1_35,"Women in 30s Have More Babies than Teens for First Time in U.S. Health Experts: Shift Due to More Women Waiting Longer to Have Kids, Teen Birth Rate Drop. CDC: Birth Rate for 30-To-30s Was 103 per 100,000 in 2016; 25- To-29 Was 102"
TEST_1_36,"Three More Bodies Found, Seven Dead in Tennessee Wildfires. More than 14,000 Evacuated from Gatlinburg, Tennessee. More Than 30% of City Searched So Far, Police Chief Brackins Says. Storms Bring More Mudslides, Rock Slides."
TEST_1_37,"Two More Bodies Pulled From Montecito Mudslides, Death Toll Rises to 17 in Southern California. At least 100 Homes Destroyed in California Mudslide. Hundreds of firefighters and others are hunting through the mud and wreckage. Three Rescued, 75% of the devastated area has been searched."
TEST_1_38,"Brooklyn man gets 40 years for 8-year-old's kidnapping, murder, dismemberment. Man, 37, won't be eligible for parole until he's 77. ""Let him rot! Let him rot!"" Post's lead paragraph: New York Post: Let the man rot!"
TEST_1_39,"Champion Joey Chestnut downs 68 Hot Dogs in Coney Island Contest. ""It was such a good day. I've never eaten that many before,"" Chestnut says. ""As a doctor, I can say this is probably not healthy, but it's fun to watch"""
TEST_1_40,"Haitian Boat Capsizes, Sinks in Turks and Caicos, 85 Missing, Two Bodies Rescuers: 113 Survivors, 2 Bodies. Boat Capsized Around 2pm, 40 Rescued, 40 More Found on Nearby Reef."
TEST_1_41,"Brazil Man Locked Wife in 8-year-old Cellar for 8 years. Man's Wife, Girlfriend Arrested as Accomplice. Police: Wife, Sebastiana, in good condition, but must get checkup, psychiatric help. Groppo: ""Locking her up was the only way he could think of"""
TEST_1_42,"Lee Farkas, Once One of America's Largest Mortgage Lenders, Convicted of $1.5B Fraud ""Mortgage Meltdown"" Case marks rare financial crisis win for Justice Department, Gawker snarkily puts it. Farka's Firm Taylor, Bean & Whitaker Sold $2.9B in Fake Mortgages"
TEST_1_43,"Bugatti's Veyron Costs $1.7M, But Only 180 Customers Have Bought It ""Veyron"" Car Costs $500M to Develop, But Has Only Sold 180 Cars ""Bugatti"" Bugatti Could Be Sold Off, Could Be Shutting Its Doors permanently"
TEST_1_44,"Oscar Taveras, 22, Killed in Car Crash Near St. Louis Cardinals' Home Run ""Meteor of Talent"" ""I simply can't believe it,"" says Cardinals' General Manager John Mozeliak. ""All of us throughout Major League Baseball are in mourning,"" says Commissioner Bud Selig."
TEST_1_45,"Windows Phone 8 Doesn't Have a ""Notification Center"" Microsoft exec: ""We ran out of time"" on the feature. ""I promise we're thinking very, very hard on that one,"" says Microsoft exec. ""Stay tuned"" for more on Windows Phone 8."
TEST_1_46,"Japanese Telecom Firm Finalizes $20.1B Deal for 70% of U.S. Wireless Carrier Sprint. Deal is Biggest-Ever Foreign Takeover by Japanese Firm, More than $20 BILLION. Sprint is America's third-largest Wireless Carrier."
TEST_1_47,"Vampire, painted in 1894, expected to fetch $35M at Sotheby's. Painting has been on loan to Metropolitan Museum of Art in New York. Vampire is last privately owned work from a 20-canvas series that also includes The Scream."
TEST_1_48,"22-year-old Climber Hopes to Be First Woman to Scale 13,000-Foot Eiger Mountain. ""This is the hardest route up the Eiger,"" Says Climber Sasha DiGiulian. ""I think that fear is inevitable, but I don't think thatFear needs to be inhibiting,"" Di Giulian says."
TEST_1_49,"Five Ohio Teens Charged with Dousing Autistic Classmate in Urine, Spit, Urine in Ice Bucket Challenge. Teenagers Doused Autistic classmate with Urine and Spit in ALS Ice Bucket 'Challenge' Three Teens Also Charged With Misdemeanor Assault"
TEST_1_50,"Phoenix Police Shoot Five Family Members in Gunfire-Fueled House Fire, Kill Gunman in 45-Minute Blaze. Four of the Five Dead Were Adults, One Was 6-year-old Girl. Police: Gunman was a Brother or Son of the Victims."
TEST_1_51,"Malaysia Airlines MH17 Bodies Arrived in Ukraine, Black Boxes in 'Good Condition' Russian Defense Minister Suggests Pro-Russian Separatists Were to blame for Flight MH17's Downing. Russia Doesn't Need to Prove Its Case, All It Needs Is To Create One"
TEST_1_52,"Nearly 60% of Facebook Friends Googled Exes after Breakup. One-third say they've had sex with their ex after reconnecting online. New York Post: Internet, Facebook Making It Hard To Break Up, Breakup ""Easier to Reconnect"""
TEST_1_53,"Police: Utah Parents Poisoned Their 3 Kids, Then Committed Suicide. Family Had Mental Health Problems, Suffered from Drug Addictions. Benjamin and Kristi Strack had long-term legal, financial problems. Empty methadone bottles found near bodies came from drug-treatment clinic."
TEST_1_54,"Kati Roll Company Sues Kati Rolls & Platters for $700K for Trademark Infringement. New Jersey Restaurant Sued for 'First' Kati Roll in New York City, $700k for 'Trademark Infringment' New York and New Jersey Eatery Kati Junction agrees to $700,000 settlement."
TEST_1_55,"Eight years after Goldwater, McCain Looks Like Goldwater's Out-of-touch Arizonan. GOP Is Now a Mean, Grumpy, Exclusive, narrow-minded, Retrograde Party, Says Columnist Colin Powell. Colin Powell won't be the last Republican to abandon GOP, writes Washington Post columnist."
TEST_1_56,"15 Erotic Massage Parlors Open in LA, 15 on 2-Mile Stretch of 'Eagle Rock Boulevard' One Businessman: 'I've never seen one woman walk in' 'Sickening' Los Angeles 'Stopped Regulating' Massage parlors"
TEST_1_57,"Buffett's Secretary Debbie Bosanek Pays 30% More in Taxes than Her Billionaire Boss. Obama: Tax Reform Should Follow Buffett Rule ""If you make more than $1 million a year, you should not pay less than 30% in taxes"" ""Most Americans would call that common sense"""
TEST_1_58,"MoveOn Raises $1 million in 2 Days to Oppose Lieberman's 2012 Re-Vacation. MoveOn Raised $1M in Two Days, Sails Past $400K Goal, Hits $7K in Web Ad. Group Raises More than $1K in 2 days after Lieberman Threatens filibuster."
TEST_1_59,"Vanity Fair: Veronica Hearst Spent $23Million on $30M Mansion in Florida, Then Sold It for $36.5M ""Like a cat with nine lives"" Post-mortem: Hearst's Father-in-law's Will Bailed Her Out"
TEST_1_60,"4-year-old Suffered from 'Stroke' from Roller-Coaster Ride on Family Vacation. Boy, 4, Suffered Stroke on Family Trip to Amusement Park in July. Doctors: ""Jerkiness and gravitational forces of the ride appear to be the culprit"""
TEST_1_61,New Jersey Town Wants to Raise Downtown Area by 10 or 11 feet for Flood Prevention. Project would cost an estimated $200 million. Residents would be sent to temporary camps for a month. Critics say it's unclear why Highlands should get that kind of money over other coastal areas.
TEST_1_62,"iceberg six times size of Manhattan born in Antarctica. Iceberg could pose problems for shipping routes, CNN reports. NASA has been tracking the iceberg for five months. iceberg is 20 miles long, 12 miles wide, and perhaps a third of a mile thick, NASA says."
TEST_1_63,"Charitable Donations Plunge 11% in 2009, Worst Drop in 20 years, Report Finds. U.S.'s Top Charities Hit Hard by Great Recession. Salvation Army Uses Text-Message Donations to Increase Donations. ""It's so far out for a Victorian-era conservative organization like us,"" rep says."
